# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.0,5.0,-3.0001594738552795,0,2.0,-125.56784982514709,180.0,0.0,0.3033344453299125
 0.023426359142430145,4.000548042119207,4.999971276799999,-3.0001594738552795,0.04685271828486028,1.9999999999999998,-125.56784982514709,-179.99289397834343,-382.0950422138317,1.8596778300586119
 0.034889066554381204,4.001210957355184,4.9998854144,-7.380003146309521,0.0697781331087624,1.9999999999999993,-72.17389628128807,-179.97157703549698,-304.23775338045397,3.583804613044912
 0.04480157621371305,4.001987924706652,4.9997428736,-10.395762815426691,0.08960315242742609,2.0,-44.92060357737959,-179.936052537653,-237.34776133178943,5.388088376027148
 0.054030534545703904,4.002878123172333,4.9995441152,-12.586235414949085,0.1080610690914078,2.0,-29.724179707008794,-179.88632609454157,-187.3414975816529,7.2243080017824495
 0.06287851500021135,4.003880731750949,4.9992896,-14.243829323869706,0.12575703000042268,1.9999999999999984,-20.635071616007476,-179.82240555854446,-150.4787548544412,9.074556132100705
 0.07148549631722804,4.00499492944122,4.9989797888,-15.538997155509815,0.14297099263445606,2.0,-14.884864811983801,-179.74430102345525,-122.98815512559437,10.931749240420515
 0.07992661571544234,4.0062198952418715,4.998615142399999,-16.57715485749106,0.15985323143088465,2.0,-11.07718663375749,-179.65202482288552,-102.11916779016522,12.793065188700561
 0.08824622426887369,4.007554808151621,4.9981961216,-17.42674635930741,0.17649244853774734,2.0,-8.45905685425695,-179.545591528317,-85.98147868828686,14.657456609223228
 0.09647231592521077,4.008998847169191,4.9977231872,-18.13403788374465,0.19294463185042152,2.0,-6.601183913852116,-179.42501794680075,-73.28281672594098,16.524629043184362
 0.10462347188433944,4.010551191293305,4.9971968,-18.731377552002037,0.2092469437686789,2.0000000000000036,-5.2470662975541575,-179.290323118303,-63.129866073161104,18.394597812724882
 0.11271252102361716,4.012211019522682,4.996617420800001,-19.24203814082386,0.22542504204723432,2.0,-4.237202023756834,-179.14152831269863,-54.894873490995934,20.26748987897225
 0.12074860675791275,4.013977510856047,4.995985510400001,-19.683178050570813,0.24149721351582548,1.9999999999999964,-3.46894244243843,-178.97865702641224,-48.12882356666077,22.143454720251775
 0.12873841909475142,4.015849844292118,4.995301529600001,-20.06771831886125,0.25747683818950284,2.0000000000000036,-2.8742285941776706,-178.80173497870814,-42.50491004419891,24.022625405028354
 0.1366869620978707,4.017827198829619,4.9945659392,-20.405570424191282,0.2733739241957414,2.0,-2.4067422531152434,-178.61079010762845,-37.781323305157066,25.90510320780434
 0.14459804974737828,4.019908753467272,4.9937792000000005,-20.704461784372764,0.28919609949475655,2.0,-2.034226718846499,-178.40585256558197,-33.7763800435271,27.790953268415578
 0.15247463637920605,4.022093687203795,4.9929417728,-20.970504367895142,0.3049492727584121,2.0,-1.7337535348322803,-178.1869547145822,-30.351626422375464,29.680205293399716
 0.1603190428158617,4.024381179037913,4.9920541184000005,-21.208594861565793,0.3206380856317234,2.0,-1.4887239394661578,-177.9541311211374,-27.40016840681904,31.57285638460231
 0.16813311473067852,4.026770407968348,4.9911166976,-21.42270174797477,0.33626622946135704,2.0,-1.286922122444269,-177.70741855079194,-24.838482876517325,33.46887458178619
 0.17591833582720914,4.02926055299382,4.9901299712,-21.616074828870843,0.3518366716544183,2.0,-1.1192231924188154,-177.44685596232068,-22.600584331899544,35.36820245154416
 0.18367591019417923,4.03185079311305,4.9890944,-21.79140054256254,0.36735182038835845,2.0,-0.9787184044086767,-177.17248450157678,-20.633810003244413,37.270760426093354
 0.1914068232018035,4.034540307324761,4.9880104447999996,-21.95091873271347,0.382813646403607,2.0,-0.8601120907743199,-176.88434749499464,-18.895733891924586,39.176449781095535
 0.1991118871862527,4.037328274627675,4.9868785664,-22.096511571383868,0.3982237743725054,2.0,-0.7592989838648648,-176.58249044274774,-17.351879066264697,41.085155230502586
 0.20679177617325295,4.040213874020513,4.9856992255999995,-22.229772076328636,0.4135835523465059,2.0,-0.6730634625456854,-176.2669610115638,-15.974002050374759,42.99674715926063
 0.214447052586298,4.043196284501996,4.9844728832,-22.352057477446802,0.428894105172596,2.0,-0.5988625651210686,-175.93780902719786,-14.738792321219535,44.91108353070725
 0.2220781880141424,4.046274685070846,4.9832,-22.464531197692903,0.44415637602828484,2.000000000000007,-0.5346674170276317,-175.5950864665638,-13.626876438121704,46.82801151057676
 0.22968557952074786,4.049448254725785,4.9818810368,-22.56819618176983,0.45937115904149584,2.000000000000007,-0.478845970237237,-175.23884744952701,-12.622048256600904,48.747368848271414
 0.2372695625726314,4.052716172465534,4.9805164544,-22.66392158182795,0.4745391251452629,2.0,-0.4300753341708854,-174.8691482303578,-11.710668627165354,50.668985051540446
 0.24483042137253552,4.056077617288816,4.9791067136,-22.752464293770412,0.48966084274507116,2.0,-0.38727555701137467,-174.48604718884866,-10.881193392677298,52.59268238800722
 0.2523683971850032,4.05953176819435,4.9776522752,-22.8344864663752,0.5047367943700065,2.0,-0.3495591291331486,-174.08960482109507,-10.123799302987544,54.5182767395604
 0.25988369509344095,4.06307780418086,4.9761536,-22.910569834102382,0.519767390186882,2.0,-0.3161921370351654,-173.67988372994262,-9.43008550794982,56.4455783344363
 0.2673764895216519,4.0667149042470685,4.9746111488,-22.981227526253903,0.5347529790433039,2.0,-0.28656412051434704,-173.2569486151012,-8.792833519439299,58.37439237542359
