# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7306792508321867,5.012671378726218,0.019720104483115366,0,3.0,0.05400750684176745,180.0,0.0,0.0791439126298937
 0.08978607981890871,1.742771560309828,5.012675540666552,0.019720104483115366,0.2693582394567261,2.9999999999999996,0.05400750684176745,-179.99289397834343,1.0008191738079077,0.5658612565342959
 0.1274577574612566,1.7550474638563702,5.012687843755084,0.0574226417770878,0.3823732723837698,3.000000000000001,0.04987818084899394,-179.97157703549698,1.2091464760576291,1.2153776728540466
 0.15668694163784613,1.7675054241422412,5.0127080138931035,0.09276500682225046,0.4700608249135384,3.0,0.04603455277104066,-179.936052537653,1.3288095058538358,1.996460039046302
 0.18159424864069146,1.7801439038378684,5.012735776981902,0.12586207313285114,0.5447827459220743,2.999999999999998,0.04245190973525097,-179.88632609454157,1.396166997520852,2.8826863899162003
 0.2037681959076264,1.7929613656136796,5.012770858922772,0.1568206065117134,0.6113045877228792,3.0000000000000027,0.039108037568545494,-179.82240555854446,1.4280148175890979,3.8567411260760385
 0.2240196290570107,1.8059562721401021,5.012812985617003,0.18573995312644923,0.6720588871710321,3.0000000000000013,0.03598293037176755,-179.74430102345525,1.4340861441501893,4.906145638116948
 0.24282791714630292,1.8191270860875643,5.012861882965888,0.21271265847048823,0.7284837514389089,3.0000000000000044,0.033058539054945976,-179.65202482288552,1.4207083987721736,6.021363000117985
 0.26050386436397316,1.832472270126493,5.012917276870715,0.23782502513888598,0.7815115930919195,2.999999999999997,0.030318551371463633,-179.545591528317,1.392291561844869,7.194810817370297
 0.27726227324738056,1.8459902869273166,5.012978893232779,0.2611576164172002,0.8317868197421417,3.0,0.027748200323042,-179.42501794680075,1.3520546761444805,8.420287210381902
 0.29325873811044,1.8596795991604624,5.013046457953368,0.2827857115370806,0.87977621433132,2.9999999999999964,0.025334095942585993,-179.290323118303,1.302425201629028,9.692609768265802
 0.30861010468371786,1.873538669496358,5.013119696933776,0.30277971824156313,0.9258303140511536,3.0,0.02306407766845522,-179.14152831269863,1.2452778209907054,11.007374755063209
 0.3234066651634518,1.8875659606054311,5.013198336075293,0.3212055468339234,0.9702199954903553,2.9999999999999964,0.020927084395521177,-178.97865702641224,1.1820865700528316,12.36078907474166
 0.3377198329259875,1.9017599351581098,5.013282101279209,0.33812495022093,1.0131594987779624,2.999999999999996,0.018913040626073088,-178.80173497870814,1.1140265680150963,13.749548711485906
 0.3516071884375313,1.916119055824821,5.013370718446817,0.35359583322026067,1.0548215653125936,2.999999999999988,0.017012754558156526,-178.61079010762845,1.0420447486130386,15.170748181503267
 0.36511591850111164,1.9306417852759927,5.0134639134794075,0.3676725344434456,1.0953477555033346,3.0,0.015217830147934616,-178.40585256558197,0.966910595868258,16.621811434914218
 0.37828523231849476,1.9453265861820526,5.013561412278272,0.38040608351378763,1.134855696955484,2.999999999999996,0.013520586660478888,-178.1869547145822,0.8892534865041748,18.10043804610382
 0.39114810297675057,1.9601719212134285,5.0136629407447,0.39184443609309383,1.1734443089302515,3.000000000000013,0.011913987971230248,-177.9541311211374,0.8095907716605023,19.604560582256756
 0.4037325508306216,1.9751762530405477,5.0137682247799855,0.40203268894203065,1.2111976524918646,3.0,0.010391582720839327,-177.70741855079194,0.7283492666207552,21.132310324926678
 0.41606260771815046,1.990338044333838,5.013876990285418,0.4110132768334545,1.2481878231544512,3.0,0.008947444761589048,-177.44685596232068,0.6458819741056665,22.681989352775833
 0.4281590537783515,2.0056557577637273,5.013988963162289,0.41882615329447986,1.2844771613350543,2.9999999999999956,0.007576126049923027,-177.17248450157678,0.5624812384485754,24.25204754909447
 0.44003998902717306,2.021127856000643,5.01410386931189,0.42550895646716436,1.320119967081519,2.999999999999995,0.006272612538823603,-176.88434749499464,0.4783892366011476,25.84106347807098
 0.4517212827364301,2.036752801715013,5.014221434635511,0.4310971616472496,1.35516384820929,3.000000000000005,0.00503228095908215,-176.58249044274774,0.3938064125683,27.44772833918384
 0.46321693102049916,2.0525290575772646,5.014341385034444,0.4356242216581458,1.3896507930614972,2.999999999999995,0.00385086774805509,-176.2669610115638,0.308898321503007,29.070832399264074
 0.47453934449133883,2.0684550862578255,5.014463446409981,0.4391216961746512,1.4236180334740163,3.000000000000005,0.00272443487784753,-175.93780902719786,0.22380122758369284,30.70925343927279
 0.4856995819523956,2.0845293504271236,5.014587344663412,0.4416193710185612,1.4570987458571867,3.0000000000000098,0.0016493379274459751,-175.5950864665638,0.13862670901826601,32.36194685446999
 0.49670754196910205,2.1007503127555864,5.014712805696029,0.4431453682886819,1.4901226259073062,3.00000000000001,0.0006222029798111366,-175.23884744952701,0.0534654704142619,34.02793712309699
 0.5075721212067975,2.1171164359136414,5.014839555409123,0.4437262481284783,1.5227163636203926,3.00000000000001,-0.0003600790951033806,-174.8691482303578,-0.03160948184923334,35.7063104160018
 0.5183013462946258,2.133626182571717,5.0149673197039855,0.44338710288280825,1.5549040388838773,2.99999999999999,-0.0013004291246724862,-174.48604718884866,-0.1165401867471523,37.39620816454405
 0.5289024844102668,2.1502780154002394,5.015095824481907,0.4421516442670791,1.5867074532308003,3.0,-0.002201527462487347,-174.08960482109507,-0.2012815011728578,39.09682143796193
